"","t","sinusoid","miller"
"1",0,0,0
"2",0.001,0.00150962315928411,0.00439678134601969
"3",0.002,0.00150962315928411,0.00439678134601969
"4",0.003,0.0042836147026779,0.0288552072765246
"5",0.004,0.0252678665823768,0.0951514751613486
"6",0.005,0.0521738374417461,0.215181500541785
"7",0.006,0.0735731649488941,0.309318774630119
"8",0.007,0.0807354002797076,0.384643403140752
"9",0.008,0.0906714201088927,0.463956619033817
"10",0.009,0.110089677379687,0.553939545050457
"11",0.01,0.140107785567951,0.668094058930442
"12",0.011,0.162822025524882,0.733313241787305
"13",0.012,0.204857696398706,0.804512488780897
"14",0.013,0.241127273656211,0.863626313806608
"15",0.014,0.263516728291607,0.903478224924421
"16",0.015,0.288628948232127,0.961158225975078
"17",0.016,0.318938351590022,1.08456833027552
"18",0.017,0.359581403321376,1.21308214285691
"19",0.018,0.382933279257704,1.26740710714909
"20",0.019,0.419276249979095,1.3140498904937
"21",0.02,0.44287117689497,1.38169164571497
"22",0.021,0.463889965600872,1.44565261922405
"23",0.022,0.508423579722482,1.53429119490979
"24",0.023,0.541522565217708,1.59394700550937
"25",0.024,0.572906311134398,1.64557734429486
"26",0.025,0.609774983422107,1.71974598232137
"27",0.026,0.65755382314449,1.7891600316432
"28",0.027,0.711457297163847,1.82665317799891
"29",0.028,0.750868570162746,1.84605498812347
"30",0.029,0.790274007959748,1.85565401992989
"31",0.03,0.8330947954871,1.85970965936272
"32",0.031,0.872852454765696,1.85970965936272
"33",0.032,0.917673260971064,1.85970965936272
"34",0.033,0.950520498455985,1.85970965936272
"35",0.034,0.977175993429794,1.97614555200922
"36",0.035,1.01029115221131,2.1651629209478
"37",0.036,1.0524518426409,2.33624347118157
"38",0.037,1.1070086416765,2.54913649633727
"39",0.038,1.16455208774156,2.74304977626109
"40",0.039,1.22714064106591,2.90245405183023
"41",0.04,1.29660147308753,3.07187902304892
"42",0.041,1.3533601312681,3.17952478515131
"43",0.042,1.40921698166436,3.30627411254192
"44",0.043,1.45889456489474,3.43490796481638
"45",0.044,1.48545693865863,3.53860567548844
"46",0.045,1.5027089641281,3.59016852627636
"47",0.046,1.5270253784145,3.61676530139528
"48",0.047,1.54719504405435,3.63005416876088
"49",0.048,1.5589623700608,3.63644515118304
"50",0.049,1.5677275659091,3.63941983478717
"51",0.05,1.57926401798824,3.64076950120255
"52",0.051,1.60203113561751,3.64137033491331
"53",0.052,1.62571037317208,3.64163423190959
"54",0.053,1.64287781892531,3.64174912145561
"55",0.054,1.67679827253025,3.64179888864781
"56",0.055,1.71100180669441,3.64182040355677
"57",0.056,1.74973158690474,3.64182970782496
"58",0.057,1.79871477451746,3.64183373973054
"59",0.058,1.88243185603427,3.64183549249586
"60",0.059,1.97889856739171,3.64813912114808
"61",0.06,2.06097113627119,3.74464252326698
"62",0.061,2.11032510980247,3.82267076310232
"63",0.062,2.1660241991012,3.90186164032751
"64",0.063,2.22390569830122,3.9464461863675
"65",0.064,2.25440046639807,3.97105700403771
"66",0.065,2.28323239757218,3.98429062953771
"67",0.066,2.31140276671949,3.98849691227423
"68",0.067,2.35436969875266,4.04860515846693
"69",0.068,2.39589209468539,4.10563761049539
"70",0.069,2.44602428587132,4.186821750743
"71",0.07,2.47974167912228,4.29493349325551
"72",0.071,2.51105991978339,4.4782723549734
"73",0.072,2.56280924637301,4.64956336097576
"74",0.073,2.63472310994479,4.84940777333238
"75",0.074,2.69867920302671,5.05266043889249
"76",0.075,2.78381664903078,5.29626839530387
"77",0.076,2.87957664183638,5.4555561719874
"78",0.077,2.93189736850621,5.53090194341444
"79",0.078,2.95957003526043,5.57220965641796
"80",0.079,2.98857575826151,5.67823175591832
"81",0.08,3.05884799926734,5.76406034508727
"82",0.081,3.14726726946036,5.82162105479504
"83",0.082,3.22490637019212,5.85280926455915
"84",0.083,3.28839680282638,5.87075914316693
"85",0.084,3.34062859854898,5.98161373507334
"86",0.085,3.37860834383083,6.07974701235516
"87",0.086,3.43745389232153,6.16276542130222
"88",0.087,3.51026813852775,6.28087320073779
"89",0.088,3.59002652011971,6.41894331656152
"90",0.089,3.67130910888403,6.61456846607568
"91",0.09,3.71812363929234,6.77905957771214
"92",0.091,3.77544811049395,6.84820863394723
"93",0.092,3.83521314877266,6.87880678184719
"94",0.093,3.89631732120779,6.89285422988997
"95",0.094,3.92450113008266,6.89945586373023
"96",0.095,3.93427681729284,6.90151583176746
"97",0.096,3.94915394092991,6.90151583176746
"98",0.097,3.99028272698391,6.90151583176746
"99",0.098,4.03110172588103,6.90151583176746
"100",0.099,4.07164334496611,6.90151583176746
"101",0.1,4.11359104844557,6.90151583176746
