taxon	min_age	max_age
t7_8	2	2
t8_3	2	2
t3_7	2	2
t4_3	2	2
t6_2	2	2
t2_1	2	2
t1_2	2	2
t5_1	2	2
t7_1	0.0783585640601814	0.0783585640601814
t7_2	0.123178054112941	0.123178054112941
t7_3	0.176515046972781	0.176515046972781
t7_4	1.07169224042445	1.07169224042445
t7_5	1.07347085373476	1.07347085373476
t7_6	1.41400947840884	1.41400947840884
t7_7	1.57369174435735	1.57369174435735
t8_1	1.12752691587531	1.12752691587531
t8_2	1.73170397142515	1.73170397142515
t3_1	0.888208310398888	0.888208310398888
t3_2	0.958986905673002	0.958986905673002
t3_3	1.14726699487046	1.14726699487046
t3_4	1.6041360882327	1.6041360882327
t3_5	1.63509719980115	1.63509719980115
t3_6	1.73242876902011	1.73242876902011
t4_1	1.68890215932942	1.68890215932942
t4_2	1.76543756919792	1.76543756919792
t6_1	1.52297213203638	1.52297213203638
t1_1	1.78292474644161	1.78292474644161
t10_1	0.0595129529372356	0.0595129529372356
t13_1	0.540126329933975	0.540126329933975
t14_1	0.536655903881553	0.536655903881553
